layer,token_pos,token_str,p_restored,recovery_score
0,0,The,0.001877,0.000000
0,1, capital,0.001877,0.000000
0,2, of,0.001877,0.000000
0,3, France,0.013411,0.424848
0,4, is,0.002807,0.034276
1,0,The,0.001877,0.000000
1,1, capital,0.001877,0.000000
1,2, of,0.001877,0.000000
1,3, France,0.021720,0.730927
1,4, is,0.004541,0.098128
2,0,The,0.001877,0.000000
2,1, capital,0.001877,0.000000
2,2, of,0.001877,0.000000
2,3, France,0.033111,1.150504
2,4, is,0.006241,0.160752
3,0,The,0.001877,0.000000
3,1, capital,0.001877,0.000000
3,2, of,0.001877,0.000000
3,3, France,0.057215,2.038390
3,4, is,0.003715,0.067707
4,0,The,0.001877,0.000000
4,1, capital,0.001877,0.000000
4,2, of,0.001877,0.000000
4,3, France,0.026763,0.916675
4,4, is,0.003292,0.052113
5,0,The,0.001877,0.000000
5,1, capital,0.001877,0.000000
5,2, of,0.001877,0.000000
5,3, France,0.026339,0.901053
5,4, is,0.002150,0.010076
6,0,The,0.001877,0.000000
6,1, capital,0.001877,0.000000
6,2, of,0.001877,0.000000
6,3, France,0.016957,0.555487
6,4, is,0.003780,0.070105
7,0,The,0.001877,0.000000
7,1, capital,0.001877,0.000000
7,2, of,0.001877,0.000000
7,3, France,0.024137,0.819940
7,4, is,0.003540,0.061259
8,0,The,0.001877,0.000000
8,1, capital,0.001877,0.000000
8,2, of,0.001877,0.000000
8,3, France,0.029192,1.006159
8,4, is,0.003748,0.068903
9,0,The,0.001877,0.000000
9,1, capital,0.001877,0.000000
9,2, of,0.001877,0.000000
9,3, France,0.014452,0.463201
9,4, is,0.029026,1.000015
10,0,The,0.001877,0.000000
10,1, capital,0.001877,0.000000
10,2, of,0.001877,0.000000
10,3, France,0.010724,0.325885
10,4, is,0.049065,1.738167
11,0,The,0.001877,0.000000
11,1, capital,0.001877,0.000000
11,2, of,0.001877,0.000000
11,3, France,0.001877,0.000000
11,4, is,0.029025,1.000000
